"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-07","14.99",,"0.32","0.0",,"40","56","30","  240","  290","40.9","55.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-08","16.55",,"0.00","0.0",,"31","37","25","  280","  250","29.1","36.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-09","7.38",,"0.00","0.0",,"27","38","20","  170","  170","17.0","21.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-10","13.42",,"0.16","0.0",,"42","47","38","  220","  230","23.9","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-11","6.26",,"0.17","0.0",,"43","45","40","   90","   50","16.1","21.9","    1",,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-12","11.41",,"0.00","0.0",,"41","45","37","  270","  300","19.9","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-13","6.71",,"0.53","0.2",,"39","41","35","  220","  230","23.9","29.1","    1",,,"    1",,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-14","14.32",,"0.00","0.0",,"33","40","15","  330","  320","23.9","32.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-15","10.29",,"0.00","0.0",,"19","31","12","  210","  210","21.9","25.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-16","11.18",,"0.00","0.0",,"35","46","29","  220","  200","25.1","31.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-17","8.72",,"0.00","0.0",,"42","49","31","  260","  300","17.0","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-18","10.74",,"0.45","0.0",,"37","42","31","  120","  140","19.9","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-19","14.99",,"0.00","0.0",,"43","46","32","  290","  290","30.0","40.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-20","11.86",,"0.00","0.0",,"32","37","24","  280","  290","21.0","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-21","10.07",,"0.00","0.0",,"26","33","17","  330","  310","17.0","21.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-22","11.63",,"0.00","0.0",,"36","49","29","  260","  280","19.9","25.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-23","8.95",,"0.00","0.0",,"44","58","34","  240","  220","16.1","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-24","8.95",,"0.00","0.0",,"48","64","35","  200","  200","19.9","23.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-25","5.37",,"0.26","0.0",,"47","53","43","   80","   90","12.1","13.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-26","9.40",,"0.15","0.0",,"46","48","44","   60","   60","17.0","21.0","    1","    1",,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-27","22.59",,"0.75","0.0",,"45","55","33","  260","  260","36.9","53.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-28","15.43",,"0.00","0.0",,"34","38","28","  250","  260","30.0","36.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-02-29","12.30",,"0.00","0.0",,"31","35","22","  300","  300","21.9","28.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-01","12.30",,"0.00","0.0",,"25","33","19","  290","  320","19.9","25.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-02","11.63",,"0.00","0.0",,"35","52","23","  190","  180","23.9","30.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-03","11.18",,"0.03","0.0",,"50","59","46","  190","  170","21.0","29.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-04","19.69",,"0.03","0.0",,"47","50","41","  270","  270","36.0","49.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-05","10.74",,"0.00","0.0",,"44","51","37","  320","  300","23.0","31.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-06","13.87",,"0.00","0.0",,"39","44","32","   30","   30","38.0","45.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-07","20.13",,"0.00","0.0",,"36","45","29","   30","   30","36.9","45.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-08","10.51",,"0.00","0.0",,"40","53","31","  260","  250","17.0","21.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-09","13.42",,"0.00","0.0",,"55","72","42","  230","  220","23.0","29.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-10","11.41",,"0.00","0.0",,"52","66","40","  230","  220","30.0","40.0","    1",,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-11","9.17",,"0.00","0.0",,"50","59","37","  330","  330","23.9","29.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-12","9.62",,"0.00","0.0",,"40","43","34","   70","   70","17.0","19.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-13","16.33",,"0.29","0.0",,"46","62","40","  290","  300","33.1","45.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-14","15.88",,"0.00","0.0",,"46","53","38","  270","  250","23.0","33.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-15","10.51",,"0.00","0.0",,"40","43","30","  320","  320","21.0","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-16","12.08",,"0.00","0.0",,"32","35","24","  120","  110","18.1","21.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-17","8.95",,"0.03","0.0",,"36","45","31","  150","  290","16.1","21.0","    1",,,,,,"    1"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-03-18","9.40",,"0.00","0.0",,"43","51","37","  110","  180","18.1","19.9",,,,,,,
